id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
790413000000000000,Acogedor departamento en Caballito,492816766,Luis,Caballito,-34.6289516,-58.4416148,Entire home/apt,8713,1,0,,,1,268,0
761484000000000000,Departamento en Distrito Moda,475530349,Maximo,Floresta,-34.62884,-58.48037,Entire home/apt,3727,1,7,02/03/2023,1.62,6,333,7
744757000000000000,Amplio departamento en Floresta,190633431,Ornella,Parque Avellaneda,-34.64109,-58.48438,Entire home/apt,5180,6,2,04/03/2023,2,1,365,2
44411072,Monoambiente a estrenar totalmente - impecable,122534598,Liliana Beatriz,Villa Gral. Mitre,-34.61431,-58.46386,Entire home/apt,8969,7,0,,,1,31,0
636048000000000000,"Hermoso, cómodo depto.  Almagro/Parque 
Centenario",461204101,Gustavo,Almagro,-34.603912,-58.430954,Entire home/apt,5400,2,20,16/03/2023,3.9,1,350,20
783935,Excepcion 3 Ambientes Con Amenities,4133924,Alejandro,Caballito,-34.60863,-58.44559,Entire home/apt,20708,30,0,,,1,365,0
675319000000000000,"Amplio, luminoso, moderno, hasta 6 huéspedes!",100576949,Daiana Noemi,Parque Chacabuco,-34.63372,-58.44909,Entire home/apt,7368,3,17,25/03/2023,2.88,1,341,17
812251000000000000,Luxurious Apart in San Telmo-Paseo de la Cisterna,51699880,Lorena,Monserrat,-34.6115181,-58.3738937,Entire home/apt,5827,2,3,14/03/2023,1.7,96,80,3
27824325,Hermoso Monoambiente en Parque Patricios,138706457,Romina Paola,Parque Patricios,-34.63033,-58.40833,Entire home/apt,5291,3,2,20/03/2023,1.58,1,340,2
752939000000000000,Apart Antezana con Jacuzzi,172857523,Patricia,Villa Crespo,-34.60564,-58.44814,Entire home/apt,8697,4,2,13/01/2023,0.44,5,335,2
39344534,Visitá Buenos Aires. Nice Apart  en Caballito.,302218317,Noelia,Caballito,-34.60816,-58.4493,Entire home/apt,7457,3,11,29/05/2022,0.27,1,70,3
664663000000000000,Departamento a estrenar. Impecable y equipado.,44299670,Pilar,Saavedra,-34.55325,-58.49726,Entire home/apt,9762,3,0,,,1,362,0
616627000000000000,"Loft hermoso , muy luminoso con pileta .",63537574,Sergio,Parque Patricios,-34.63698,-58.40326,Entire home/apt,8076,3,13,06/03/2023,1.77,2,339,13
7645489,Cozy room in Villa Crespo,19251435,Agustin,Villa Crespo,-34.60412,-58.4513,Private room,2800,1,35,01/03/2023,0.38,1,259,6
732451000000000000,"Depto. en Buenos Aires 
Flores -6 camas / 3 habit.",473200669,Javier,Flores,-34.6265,-58.46606,Entire home/apt,9350,2,11,23/03/2023,1.94,1,356,11
37079773,Monoambiente luminoso. c/hospitales. c/subte H y E,12241243,Alejandro,San Cristobal,-34.61853,-58.39865,Entire home/apt,9000,3,2,17/08/2019,0.05,1,87,0
39789715,Milo’s,103948694,Lucas,Flores,-34.62268,-58.46103,Entire home/apt,6212,3,10,19/03/2023,0.86,1,284,10
36317677,Apartamento Independencia Boedo,273124286,Cristian Ariel,Boedo,-34.62085,-58.41265,Entire home/apt,12000,2,12,11/11/2022,0.27,1,365,7
807235000000000000,Luminoso Studio con balcón,88968922,Paola,San Cristobal,-34.62975507,-58.41040503,Entire home/apt,4910,7,3,04/03/2023,1.58,1,242,3
740372000000000000,Departamento 2 ambientes en el centro de Caballito,27236182,Yerman,Caballito,-34.621504,-58.4365085,Entire home/apt,6212,2,8,20/03/2023,1.76,1,361,8
574569000000000000,Oikos Belgrano,99309675,Claus,Belgrano,-34.5654,-58.45052,Entire home/apt,10147,1,19,13/11/2022,1.52,1,0,16
674025000000000000,Precioso departamento en Coglhan .,102287084,Silvia,Coghlan,-34.56344,-58.47739,Entire home/apt,6129,3,1,08/11/2022,0.21,4,333,1
847812000000000000,Departamento en Villa Devoto 2D,491701216,Mariano,Villa Devoto,-34.61095716,-58.51674165,Entire home/apt,5945,3,1,20/03/2023,1,2,349,1
658636000000000000,"Monoambiente a nuevo, inmejorable ubicación.",115186940,Rocio,Flores,-34.6295185,-58.468829,Entire home/apt,6000,4,2,10/01/2023,0.42,1,110,2
841205000000000000,Casa de diseño,65518334,Manuel,Saavedra,-34.55646205,-58.49017762,Entire home/apt,20708,2,0,,,3,359,0
645611000000000000,Espectacular espacio en barrio porteño,463415259,Edgar,Boedo,-34.63733,-58.41898,Entire home/apt,10354,1,1,20/06/2022,0.11,1,290,1
17547792,"Bright & Cozy Apart near City Center, Caballito",119061097,Lucas,Caballito,-34.62429,-58.44119,Entire home/apt,9193,4,103,16/03/2023,2.19,1,299,38
40935246,alojamiento tranquilo dto D,205522527,Eduardo Daniel,Mataderos,-34.65539,-58.49498,Entire home/apt,6000,5,9,11/03/2023,0.34,2,326,5
27302323,"Comfortable private room, shared kitchen & BTHRM",9009727,Alberto,Boca,-34.63288,-58.35662,Private room,2060,5,29,15/11/2022,0.59,1,104,5
747142000000000000,Sofá-cama em apartamento compartilhado com jacuzzi,24897552,Camila,Palermo,-34.59055,-58.42003,Shared room,5030,1,2,13/11/2022,0.43,1,0,2
52493627,Moderno y luminoso departamento en Caballito,33156445,Hernán,Caballito,-34.62085,-58.43794,Entire home/apt,8904,3,14,15/01/2023,0.8,1,138,9
44547163,Apartamento con gran patio y parrilla en Caballito,360459057,Lilian,Caballito,-34.62163,-58.43868,Entire home/apt,8283,6,25,20/02/2023,0.85,1,65,15
8569005,Oasis in the city,9857854,Noa,San Cristobal,-34.62212,-58.39538,Entire home/apt,11389,1,0,,,1,365,0
50374690,Hermoso departamento 3 ambientes. Villa Devoto,406902061,Sebastian Daniel,Villa Devoto,-34.60164,-58.50633,Entire home/apt,11852,2,24,18/01/2023,1.44,1,166,17
47965346,APART CABALLITO II (a estrenar),201109219,Marcela,Caballito,-34.62299,-58.43052,Entire home/apt,28991,5,0,,,1,179,0
31231318,TE ESPERO EN  BUENOS AIRES,233617196,Alcira,San Cristobal,-34.62085,-58.40578,Entire home/apt,8697,2,64,20/03/2023,1.26,1,335,22
660621000000000000,Palermo chico,466883828,Ana,Palermo,-34.57662695,-58.40514946,Entire home/apt,10383,4,1,27/07/2022,0.12,1,83,1
726104000000000000,Amplio y hermoso ambiente.,87222790,Ariel,Saavedra,-34.55468,-58.48212,Entire home/apt,6508,1,6,13/11/2022,1,1,11,6
25232569,La casa del tango,190641861,Juan,Villa Crespo,-34.60047,-58.45381,Private room,2857,5,4,22/10/2022,0.07,1,355,1
33132196,Luminous 2-room apartment in the heart of Almagro,67646586,Carla,Almagro,-34.60525,-58.4199,Entire home/apt,8165,7,19,17/03/2023,0.4,1,238,8
748776000000000000,"Departamento, a cinco cuadras del Alto Palermo.",247787920,Maria,Recoleta,-34.59378,-58.41253,Entire home/apt,11832,1,8,19/12/2022,1.62,2,0,8
670920000000000000,Silencioso Dos ambientes en pleno Palermo Soho,216223426,Paula,Palermo,-34.58683557,-58.42040858,Entire home/apt,10354,1,0,,,1,260,0
14554514,"Hermosa casa de dos plantas, 200m2, patio,parrilla",55800710,Puerta,San Cristobal,-34.6225,-58.40183,Entire home/apt,22422,30,0,,,1,358,0
30439634,ambiente y medio Nuñez C/ sofa cama,44168030,Dana,Nuñez,-34.55154,-58.45601,Entire home/apt,6952,2,39,25/03/2023,0.75,64,82,29
49176763,Habitación para turistas que residan en extranjero,244494459,Carme L,Balvanera,-34.61691,-58.40404,Private room,3520,15,1,07/12/2022,0.27,1,161,1
