id,,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
33897516,,Excelente y cálido departamento en Recoleta,34817561,Alejandra,Recoleta,-34.59804,-58.40261,Entire home/apt,5295,2,17
33897654,,Oasis en el Barrio - Loft Increible!,254163819,Eduardo,Constitucion,-34.61856,-58.3837,Entire home/apt,9940,7,39
33902657,,Comfy Apartment in Palermo Soho,139098159,Pia,Palermo,-34.5831,-58.42293,Entire home/apt,8173,28,20
33903036,,CÓMODO DEPARTAMENTO EN EL CORAZÓN DE BUENOS AIRES,80292420,Jorge,Villa Crespo,-34.60236,-58.45105,Entire home/apt,8969,7,0
33903126,,Departamento entero en Colegiales,159100452,Rocío,Colegiales,-34.57787,-58.45067,Entire home/apt,6833,5,15
33903912,,Spacious One BR in Palermo w/balcony & Pool,1875949,Diego,Palermo,-34.58137,-58.4324,Entire home/apt,18016,3,65
33905241,,Apartamento dos ambientes muy luminoso,805950,Isabel,Balvanera,-34.60274,-58.39317,Entire home/apt,6655,3,0
33905808,,Classy Suite. Room in the heart of Palermo. Nº3,256039628,Gabriel,Villa Crespo,-34.59621,-58.42823,Private room,16000,1,3
33909117,,Cozy Suite Room in the middle of Palermo. Nº2,256039628,Gabriel,Palermo,-34.59599,-58.4265,Private room,14000,1,6
33910275,,Studio con pileta en el corazón de Caballito,116239463,Pablo,Caballito,-34.62118,-58.43596,Entire home/apt,2071,30,4
33910285,,Luxury Design Duplex in hype hood.,1108682,Leon,Nuñez,-34.53607,-58.4686,Entire home/apt,8904,2,25
33911045,,"Shared Dormitory, Women only, 6 Beds",87197898,Alberto,Recoleta,-34.59487,-58.39603,Hotel room,2071,1,1
33912452,,"Central and quiet, center of Buenos Aires",256086594,Gaston,Balvanera,-34.60719,-58.3972,Entire home/apt,5381,3,6
33912472,,Cuarto en la casa feliz de Belgrano,10885056,Johanna,Palermo,-34.56609,-58.44008,Private room,24849,1,9
33914920,,Bright & Modern Private APT Heart of Palermo SOHO,56909224,Sebastian,Palermo,-34.58989,-58.43163,Entire home/apt,15087,3,37
33924213,,Premium studio in Palermo!! pool+gym+laundry+barbe,71326452,María Lucía,Palermo,-34.57795,-58.4381,Entire home/apt,13314,4,24
33927409,,"Genial casa en Palermo Soho terraza, parrilla",1011896,Natalia,Almagro,-34.60025,-58.4292,Entire home/apt,90225,1,11
33929308,,Recoleta Quiet & luminous 2 baños en suite 5 pax,21774675,Luisa Rosa,Recoleta,-34.59627,-58.39414,Entire home/apt,37274,3,6
